level,alignment,pos_group,metric,n,pearson_r,pearson_p,spearman_r,spearman_p,distance_cor,pearson_sig,spearman_sig
population,sentiment leads (sent W → perf W+1),RB,total_opportunities,84,0.0226,0.8382,0.0086,0.9385,0.1477,,
population,concurrent (W vs W),WR_TE,total_opportunities,234,-0.034,0.6046,-0.0079,0.9045,0.074,,
population,sentiment leads (sent W → perf W+1),RB,total_touches,84,0.0229,0.836,0.0073,0.9473,0.1474,,
population,concurrent (W vs W),QB,stats_passing_pass_td,152,0.023,0.7789,-0.0064,0.9376,0.1081,,
population,perf leads (perf W → sent W+1),RB,total_touches,86,0.0065,0.9526,0.0062,0.9545,0.1385,,
population,perf leads (perf W → sent W+1),DEF,stats_interceptions_passes_defended,146,0.0076,0.9272,0.0058,0.9446,0.0804,,
population,concurrent (W vs W),QB,stats_passing_pass_yards,152,0.029,0.7229,0.0058,0.9439,0.1105,,
population,perf leads (perf W → sent W+1),QB,stats_passing_pass_td,137,0.0088,0.9191,0.0056,0.9479,0.0985,,
population,perf leads (perf W → sent W+1),RB,stats_snap_counts_offense_snaps,86,0.0002,0.9988,0.0056,0.959,0.1394,,
population,perf leads (perf W → sent W+1),RB,stats_receiving_targets,86,-0.0039,0.9712,0.0053,0.9615,0.1554,,
population,sentiment leads (sent W → perf W+1),WR_TE,stats_receiving_targets,196,-0.0074,0.9175,0.0047,0.9475,0.0756,,
population,concurrent (W vs W),QB,stats_rushing_rush_yards,152,0.001,0.9905,-0.0047,0.9547,0.1094,,
population,concurrent (W vs W),WR_TE,stats_snap_counts_offense_snaps,234,-0.0166,0.8002,-0.0044,0.9466,0.0772,,
population,sentiment leads (sent W → perf W+1),RB,stats_receiving_targets,84,0.0018,0.987,0.0042,0.9695,0.1291,,
population,perf leads (perf W → sent W+1),QB,fantasy_points_ppr,137,0.0081,0.9252,0.0039,0.9637,0.0987,,
population,sentiment leads (sent W → perf W+1),QB,stats_passing_pass_attempts,133,0.0096,0.9123,0.0037,0.966,0.1162,,
population,perf leads (perf W → sent W+1),RB,stats_receiving_receptions,86,0.0026,0.9811,-0.0037,0.973,0.1595,,
population,concurrent (W vs W),WR_TE,stats_receiving_targets,234,-0.0317,0.6295,-0.0033,0.9598,0.071,,
population,sentiment leads (sent W → perf W+1),QB,stats_rushing_rush_yards,133,0.0068,0.938,-0.0032,0.9707,0.1174,,
population,perf leads (perf W → sent W+1),RB,total_opportunities,86,0.0054,0.9603,0.0032,0.9768,0.1391,,
population,sentiment leads (sent W → perf W+1),RB,stats_receiving_receptions,84,-0.0005,0.9961,0.0023,0.9832,0.1321,,
population,sentiment leads (sent W → perf W+1),WR_TE,total_opportunities,196,-0.0081,0.9106,0.0021,0.9768,0.0779,,
population,perf leads (perf W → sent W+1),RB,stats_rushing_rush_attempts,86,0.0069,0.9494,-0.0012,0.9913,0.1428,,
population,sentiment leads (sent W → perf W+1),QB,fantasy_points_ppr,133,0.0237,0.7863,0.0009,0.992,0.1218,,
population,sentiment leads (sent W → perf W+1),WR_TE,stats_snap_counts_offense_snaps,196,0.0017,0.9812,0.0007,0.9924,0.08,,
population,sentiment leads (sent W → perf W+1),QB,stats_snap_counts_offense_snaps,133,0.0167,0.8484,-0.0003,0.9971,0.1252,,
