level,alignment,pos_group,player,team,position,metric,n,pearson_r,pearson_p,spearman_r,spearman_p,distance_cor,pearson_sig,spearman_sig
per_player,concurrent (W vs W),WR_TE,Ja'Marr Chase,CIN,WR,fantasy_points_ppr,16,0.0649,0.8114,0.0088,0.9741,0.386,,
per_player,concurrent (W vs W),WR_TE,Dalton Kincaid,BUF,TE,fantasy_points_ppr,12,0.1816,0.5722,0.007,0.9828,0.404,,
per_player,sentiment index leads (sent W -> perf W+1),RB,Kenneth Walker III,SEA,RB,fantasy_points_ppr,16,0.044,0.8713,-0.0059,0.9828,0.2773,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,DJ Moore,CHI,WR,fantasy_points_ppr,16,0.0664,0.807,0.0044,0.9871,0.348,,
per_player,perf leads (perf W -> sent W+1),QB,Dak Prescott,DAL,QB,fantasy_points_ppr,16,0.0383,0.8881,0.0029,0.9914,0.3265,,
per_player,concurrent (W vs W),QB,Baker Mayfield,TB,QB,fantasy_points_ppr,17,0.0265,0.9197,0.0025,0.9926,0.3026,,
per_player,concurrent (W vs W),DEF,Antoine Winfield Jr.,TB,FS,fantasy_points_ppr,17,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Chris Jones,KC,DE,fantasy_points_ppr,17,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Christian Gonzalez,NE,CB,fantasy_points_ppr,14,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Devon Witherspoon,SEA,CB,fantasy_points_ppr,12,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Gregory Rousseau,BUF,DE,fantasy_points_ppr,16,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Jaylon Johnson,CHI,CB,fantasy_points_ppr,7,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Laiatu Latu,IND,DE,fantasy_points_ppr,16,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Matt Milano,BUF,OLB,fantasy_points_ppr,12,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Quinnen Williams,NYJ,DT,fantasy_points_ppr,15,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Quinyon Mitchell,PHI,CB,fantasy_points_ppr,16,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Tariq Woolen,SEA,CB,fantasy_points_ppr,16,,,,,0.0,,
